DeployedFromStation_Name;Adresse;Latitude;Longitude
Acton;27 Gunnersbury Lane, W3 8EA;51.50721518408565; -0.27695110500493675
Addington;197-199 Lodge Lane, CR0 0QA;51.35198448195585; -0.023700853427972155
Barking;Alfred's Way, IG11 0BB;51.52989538906327; 0.08948859631788059
Barnet;144 Station Road, EN5 1TE;51.647237987212456; -0.1852880729872021
Battersea;11 Este Road, SW11 2TL;51.467200143185416; -0.16908415712420502
Beckenham;8 Beckenham Road, BR3 4LR;51.408192218047695; -0.03383035342451503
Bethnal Green;11 Roman Road, E2 0HU;51.527814595309; -0.05310811108898621
Bexley;172 Erith Road Bexleyheath, DA7 6BY;51.46121643191063; 0.15401283493832849
Biggin Hill;2 Kingsmead, TN16 3UB;51.31379620641956; 0.034497521437090284
Brixton;84 Gresham Road Brixton, SW9 7NP;51.46386623418684; -0.10887001903002863
Bromley;4 South Street Bromley Kent, BR1 1RH;51.40722656814447; 0.01755739260689098
Chelsea;264 Kings Road, SW3 5UF;51.487312605602455; -0.17029611664658872
Chingford;34 The Ridgeway, E4 6PP;51.63501661247767; -0.007152760723510663
Chiswick;2-4 Heathfield Gardens, W4 4JY;51.490595717487125; -0.26907963199021057
Clapham;29 Old Town, SW4 0JT;51.46499639970691; -0.14068591109291576
Croydon;90 Old Town, CR10 1AR;51.370154993399574; -0.10541348389880312
Dagenham;70 Rainham Road North, Dagenham, RM10 7ES;51.55930981563326; 0.15699111219382497
Dartford;Watling St, Stone, Dartford DA2 6EG, Royaume-Uni;51.43972756261142; 0.24558578467185846
Deptford;186 Evelyn Street, SE8 5DB;51.48501709306412; -0.03370530130292884
Dockhead;8 Wolseley Street, SE1 2BP;51.500752223069576; -0.07067617246599711
Dowgate;94-95 Upper Thames Street, EC4R 3UE;51.51020645139196; -0.08970109019121471
Ealing;60-64 Uxbridge Road, W13 8RA;51.51215122193591; -0.3134526785506414
East Greenwich;325 Woolwich Road, SE7 7RF;52.69914513782074; 0.38623866498496434
East Ham;210 High Street South, E6 3RS;51.523569575074355; 0.057356488910704405
Edmonton;99 Church Street, N9 9AA;53.7828403795634; -0.8366878733952671
Eltham;266 Eltham High St, SE9 1BA;52.80084265761382; -0.03254085025300469
